species,nodulation
Calliandra_molinae,Yes
Calliandra_mollissima,Yes
Calliandra_obesifolia,Yes
Calliandra_palmeri,Yes
Calliandra_pedicellata,Yes
Calliandra_pilosa,Yes
Calliandra_pittieri,Yes
Calliandra_quetzal,Yes
Calliandra_rhodocephala,Yes
Calliandra_rubescens,Yes
Calliandra_stipulacea,Yes
Calliandra_surinamensis,Yes
Calliandra_tergemina,Yes
Calliandra_trinervia,Yes
Calliandra_tsugoides,Yes
Calliandra_tweedii,Yes
Calliandra_viscidula,Yes
Calpocalyx_aubrevillei,No
Calpocalyx_brevibracteatus,No
Calpocalyx_cauliflorus,No
Calpocalyx_dinklagei,No
Cathormion_altissimum,Yes
Chidlowia_sanguinea,Yes
Chloroleucon_foliolosum,Yes
Chloroleucon_mangense,Yes
Chloroleucon_tenuiflorum,Yes
Cojoba_arborea,Yes
Cojoba_catenata,Yes
Cojoba_costaricensis,Yes
Cojoba_escuintlensis,Yes
Cojoba_graciliflora,Yes
Cojoba_matudae,Yes
Cojoba_rufescens,Yes
Cojoba_sophorocarpa,Yes
Cojoba_valerioi,Yes
Cylicodiscus_gabunensis,No
Desmanthus_balsensis,Yes
Desmanthus_bicornutus,Yes
Desmanthus_covillei,Yes
Desmanthus_fruticosus,Yes
Desmanthus_leptophyllus,Yes
Desmanthus_oligospermus,Yes
Desmanthus_painteri,Yes
Desmanthus_pumilus,Yes
Desmanthus_subulatus,Yes
Desmanthus_virgatus,Yes
Dichrostachys_cinerea,Yes
Dichrostachys_spicata,Yes
Ebenopsis_confinis,Yes
Ebenopsis_ebano,Yes
Elephantorrhiza_elephantina,Yes
Elephantorrhiza_goetzei,Yes
Entada_abyssinica,Yes
Entada_gigas,Yes
Entada_glandulosa,Yes
Entada_mannii,Yes
Entada_polyphylla,Yes
Entada_polystachya,Yes
Entada_rheedii,Yes
Entada_stuhlmannii,Yes
Enterolobium_barnebianum,Yes
Enterolobium_contortisiliquum,Yes
Enterolobium_cyclocarpum,Yes
Enterolobium_ellipticum,Yes
Enterolobium_gummiferum,Yes
Enterolobium_schomburgkii,Yes
Enterolobium_timbouva,Yes
Faidherbia_albida,Yes
Falcataria_moluccana,Yes
Gagnebina_commersoniana,Yes
Gagnebina_microcephala,Yes
Gagnebina_pterocarpa,Yes
Havardia_albicans,Yes
Havardia_campylacanthus,Yes
Havardia_mexicana,Yes
Havardia_pallens,Yes
Hesperalbizia_occidentalis,Yes
Hydrochorea_corymbosa,Yes
Hydrochorea_gonggrijpii,Yes
Inga_acreana,Yes
Inga_acrocephala,Yes
Inga_acuminata,Yes
Inga_adenophylla,Yes
Inga_affinis,Yes
Inga_aggregata,Yes
Inga_alata,Yes
Inga_alba,Yes
Inga_altissima,Yes
Inga_arenicola,Yes
Inga_auristellae,Yes
Inga_barbata,Yes
Inga_barbourii,Yes
Inga_belizensis,Yes
Inga_bella,Yes
Inga_blanchetiana,Yes
Inga_bourgonii,Yes
Inga_brachyrhachis,Yes
Inga_brachystachya,Yes
Inga_bracteifera,Yes
Inga_bracteosa,Yes
Inga_brevipedicellata,Yes
Inga_brevipes,Yes
Inga_bullatorugosa,Yes
Inga_calcicola,Yes
Inga_calderonii,Yes
Inga_carinata,Yes
Inga_cecropietorum,Yes
Inga_chocoensis,Yes
Inga_ciliata,Yes
Inga_cocleensis,Yes
Inga_codonantha,Yes
Inga_cookii,Yes
Inga_cordatoalata,Yes
Inga_cordistipula,Yes
Inga_coruscans,Yes
Inga_crassiflora,Yes
Inga_cyclocarpa,Yes
Inga_davidsei,Yes
Inga_densiflora,Yes
Inga_disticha,Yes
Inga_duckei,Yes
Inga_edulis,Yes
Inga_endlicheri,Yes
Inga_exalata,Yes
Inga_fendleriana,Yes
Inga_feuilleei,Yes
Inga_filiformis,Yes
Inga_flagelliformis,Yes
Inga_gereauana,Yes
Inga_golfodulcensis,Yes
Inga_gracilifolia,Yes
Inga_gracilior,Yes
Inga_grandis,Yes
Inga_hayesii,Yes
Inga_herrerae,Yes
Inga_heterophylla,Yes
Inga_hintonii,Yes
Inga_ilta,Yes
Inga_inflata,Yes
Inga_ingoides,Yes
Inga_interrupta,Yes
Inga_ismaelis,Yes
Inga_jinicuil,Yes
Inga_klugii,Yes
Inga_lallensis,Yes
Inga_latipes,Yes
Inga_laurina,Yes
Inga_lentiscifolia,Yes
Inga_lineata,Yes
Inga_litoralis,Yes
Inga_longipes,Yes
Inga_longispica,Yes
Inga_macrophylla,Yes
Inga_maritima,Yes
Inga_maynensis,Yes
Inga_megaphylla,Yes
Inga_micheliana,Yes
Inga_microcalyx,Yes
Inga_mortoniana,Yes
Inga_mucuna,Yes
Inga_multijuga,Yes
Inga_multinervis,Yes
Inga_nobilis,Yes
Inga_obidensis,Yes
Inga_oerstediana,Yes
Inga_paterno,Yes
Inga_pauciflora,Yes
Inga_pavoniana,Yes
Inga_pezizifera,Yes
Inga_pilosula,Yes
Inga_pinetorum,Yes
Inga_polita,Yes
Inga_pseudoinvolucrata,Yes
Inga_punctata,Yes
Inga_quaternata,Yes
Inga_ricardorum,Yes
Inga_rubiginosa,Yes
Inga_ruiziana,Yes
Inga_saltensis,Yes
Inga_samanensis,Yes
Inga_schiedeana,Yes
Inga_sellowiana,Yes
Inga_semialata,Yes
Inga_sertulifera,Yes
Inga_sessilis,Yes
Inga_sierrae,Yes
Inga_sinacae,Yes
Inga_skutchii,Yes
Inga_stenoptera,Yes
Inga_stipulacea,Yes
Inga_stipularis,Yes
Inga_tenuicalyx,Yes
Inga_tenuipedunculata,Yes
Inga_tenuistipula,Yes
Inga_tocacheana,Yes
Inga_tomentosa,Yes
Inga_tonduzii,Yes
Inga_umbellifera,Yes
Inga_umbratica,Yes
Inga_uraguensis,Yes
Inga_uruguensis,Yes
Inga_venusta,Yes
Inga_vera,Yes
Inga_villosissima,Yes
Inga_virescens,Yes
Inga_virgultosa,Yes
Inga_vulpina,Yes
Jacqueshuberia_brevipes,Yes
Jacqueshuberia_loretensis,Yes
Leucaena_collinsii,Yes
Leucaena_cuspidata,Yes
Leucaena_diversifolia,Yes
Leucaena_esculenta,Yes
Leucaena_lanceolata,Yes
Leucaena_mixtec,Yes
Leucaena_pueblana,Yes
Leucaena_pulverulenta,Yes
Leucaena_retusa,Yes
Leucaena_trichodes,Yes
Lysiloma_candida,Yes
Lysiloma_divaricatum,Yes
Lysiloma_latisiliquum,Yes
Lysiloma_microphylla,Yes
Lysiloma_tergemina,Yes
Lysiloma_watsonii,Yes
Macrosamanea_simabifolia,Yes
Macrosamanea_spruceana,Yes
